address,age,bedroom,date,facilities,floor,func,latitude,longitude,meterage,parking,price,price_per_meter,properties,title,type,,,
تهران ، منطقه 10 ، جیحون," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.6949464269382,51.3595390319824,"7, 8"," , پ, ا, ر, ک, ی, ن, گ",4.1 میلیارد,,مسکونی,78متر تک واحدی خوش نقشه و دوبر,مسکونی,,,
تهران ، منطقه 10 ، سلسبیل,"1, 6",1,,,,آپارتمان/برج,35.6950161330133,51.3727140426636,"5, 1",1,2.3 میلیارد,,مسکونی,51متر تک/ واحدی /دوبر ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 5",2,,,,آپارتمان/برج,35.781324395188,51.3643296416574,"9, 0",1,15.2 میلیارد,170 میلیون,مسکونی,فروش آپارتمان 90 متری 2 خوابه در سعادت اباد,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.7828352759251,51.3867902278067,"1, 2, 5",2,28.8 میلیارد,230 میلیون,مسکونی,فروش آپارتمان/برج 125 متری 2 خوابه در سعادت اباد - علامه جنوبی,مسکونی,,,
تهران ، منطقه 10 ، جیحون," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.6985013590862,51.3630151748657,"4, 9"," , پ, ا, ر, ک, ی, ن, گ",2.5 میلیارد,,مسکونی,فروش آپارتمان 49متری فول بازسازی ,مسکونی,,,
تهران ، منطقه 10 ، امام خمینی - جیحون," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.6871738174484,51.3644313812256,"5, 1"," , پ, ا, ر, ک, ی, ن, گ",2.5 میلیارد,,مسکونی,فروش آپارتمان 51متری خوش نقشه,مسکونی,,,
تهران ، منطقه 1 ، ازگل," , س, ا, ل, ه",3,,,,آپارتمان/برج,35.7927819606546,51.500156020612,"1, 4, 7",1,23.5 میلیارد,,مسکونی,ازگل -148متر 3خواب -کم واحد,مسکونی,,,
تهران ، منطقه 1 ، ازگل,4,3,,,,آپارتمان/برج,35.7842759639757,51.5192353522799,"1, 5, 3",1,14.7 میلیارد,,مسکونی,آپارتمان 153متر سه خواب,مسکونی,,,
تهران ، منطقه 10 ، هاشمی," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.6843102937294,51.3584709824513,"6, 4"," , پ, ا, ر, ک, ی, ن, گ",2.8 میلیارد,,مسکونی,فروش آپارتمان 64متری دوخوابه فول بازسازی,مسکونی,,,
تهران ، منطقه 1 ، ازگل,"1, 5",2,,,,آپارتمان/برج,35.7872280144999,51.5126187900785,"9, 5",1,12.9 میلیارد,,مسکونی,لادن گلزار فول نوسازی95m,مسکونی,,,
تهران ، منطقه 1 ، ازگل," , س, ا, ل, ه",3,,,,آپارتمان/برج,35.7883501065865,51.5239691734314,"2, 0, 0",2,50 میلیارد,250 میلیون,مسکونی,گلچین/مدرن-200متر3خواب-فول,مسکونی,,,
